post_text,cluster
Ok does everyone have the flu,3
graduate admissions timeline,3
David Belascos BAEP 470 or Anthony Borquezs BUAD 301 Tech Entrepreneurship,3
StuhoElement housing,3
WES,3
heytea,3
Internal Transfer Question,3
Gateway Smell in Apartment,3
USC EA Financial Aid Package,3
Housing for next year help,3
Best sophomore housing options Through USC,3
Any community college transfers Also would living in echo park off campus be too much of a commute,1
What counts as community service for Norman Topping Scholarship,3
ISO Off Campus Housing,1
Thoughts or insights into usc Marshall or international relations,3
What Housing,3
Piano Practice Rooms for nonmusic majors,3
Does dulce make their own cakes or buy it somewhere else,3
How do you stay motivateddisciplined,3
Bars near campus with a chill vibe to read and play some pool at,1
Admitted students gc 2026,0
off campus housing recc,1
recently admitted tell me all the pros and cons of USC,3
FAFSA not received on the FAST portal,3
Anyone throwing tonight,3
Is the Summer Program worth it for Marshall,3
CSCI 577A and 644 reviews,3
Any advice for an incoming Creative Writing major,3
Neuroscience BA vs Health and Human Sciences BA,3
USC EA Admit,3
Accepted Next Steps,3
Please help with double majoring,3
On Campus Job,1
USC discord,3
Sophomore Housing  Honors,3
How feasible is switching into Cinema and Media Studies Major from Dornsife,3
GEOL 126 Lab Swap,3
FAST Portal,3
graduate assistantship,3
Best way to get to Cedars Sinai from USC,3
Looking for intramural bball team,3
What clubs are you joiningchecking out this semester,3
DEN Proctor Bay Area,3
delete petition,3
Where is HOHEDI,3
Rock  Reillys,3
Piano for students to play on campus,1
Anthropology PhD studentsresearch proposal,3
OpenAI  ChatGPT Edu,3
Whens the Frat Rush,3
is it worth it to apply to dka again after getting rejected twice before,3
cowlings and ilium aircon,3
chem105b study group Bertolini,3
Travel Abroad Question,3
Soph roommate of opposite gender in housing lottery,3
acting call back,3
Loans help,3
USC Marshall MBA cost of attendance,3
How hard is it to make the spirit leaders team,3
Is USC having AI read applications this year,3
USC Call of Duty Tryouts,3
What to do for Sophomore Housing Lottery with no Roommate,3
Lost Phone,3
Stop walking in the bike lanes around campus,1
PHIL260,3
tac 460 web dev project,3
Anyone willing to switch GESM120 g with me,3
Easiest Upper Division Film Classes,3
Im new student,3
Questions on IF I should Rush and Where,3
Is anyone taking CSCI 567 CSML with Professor Vatsal Sharan,3
Best times to go to the gym,3
How much are your parents paying,3
transfer student never felt more alone,3
Can I still go to the student health center if I waive the student health insurance,3
Considering USC MHC Architecture  Worth It,3
Resources for mental health,3
Do I need to fill out the CSS profile again,3
Taking Both HBIO 302 anatomy  BISC 307 physiology doable,3
Any Pakistani MS Spring 26 Students Would love to connect,0
Do we need to reapply for UPass each semesteryear,3
Trading MASC310 lab session,3
Marshall vs Dornslife what are your experiences,3
Do labs start week 1,3
If accepted as a transfer to Marshall  how realistic is doing 16 units during my first semester and the other 3 semesters with 18 units,3
outdoor seating with outlets,3
how to find affordable rooms in the houses near campus,1
lab coat and goggles,3
Anyone dropping the IDSN585 Capstone,3
writ150,3
marshall internal transfer to joint major,3
Confused between choosing classes for CSCI Spring26,3
How do you get a UPass card,3
When should I expect my 20262027 financial aid package as a current freshmen,3
General question sophomore on campus housing process vs off campus,1
MAcc program decision timeline,3
BUAD 304 Mada,3
Damn the music at Lyon loud asf today,3
Looking for people who studied English between 20192023,3
Is anyone offering vocal lessons,3
Pickup soccer at usc,3
SOCI 242,3
ISO Yoga Mat,3
Student Email Template,3
Are there any groupschats for BME grad students or general is fine as long as its not just undergrads like GroupMe or discord,0
How do I look up reviews for classes other than ratemyprofessor,3
Missed USC Fee Payment Deadline by an Hour,3
am I cooked transferring from a t20 to usc with a 378 gpa prob will be a little lower with usc recalculation,3
TAB Tuition Assistance Benefits I am a 15 years exUSC employee Does the university still give dependent tuition benefits to former empoyees,3
CSCI 567 Machine Learning Course with Prof Sharad Vatsal,3
Chatgpt Edu  USC Whats going on,3
Quick Question From A First Year Applicant,2
USC Master of Arts in Teaching I Got In,3
MSCS courses,3
Regret not applying for RA  what are the worst parts of the job,3
CSCI 587 Geospatial Analysis,3
USC Students How iswas your major Likesdislikes regrets postgrad plans and vibe,0
Lost hat in lyft,3
Any tips for surviving BUAD 311,3
Final semester things to do,1
OT 251 OT 260  SWMS 212 vs HIST211,3
Fred Leeds Property Management Reviews,3
Need classes,3
Offcampus housing lease dispute seeking advice  similar experiences,3
Acting in SCA Student Films,3
offering a ride to Bay Area back on sunday,3
Marshall Finance Emphasis Course Advice FBE421,3
Looking to joincreate intramural volleyball team,3
psyc 454 with leor hackel advice,3
OT260 CHP Building,3
uh which usc majors do grade deflation idk if you can call it deflation but for some programs they can only give 40 of kids As and As according to a prof I had vs not Like business psych cinema pr history cs etc,3
When do EA results typically come out,3
Gerontology Program,3
USCs unacceptable silent class unit increase update,3
What volunteer opportunities that can give clinical hours are in the area,3
den@viterbi scholarship,3
PHED 140 swap,3
USCs MS in Economics and Data Science MECDS program,3
When do dorms reopen @usc,3
hair salons near campus,1
Spring Admit Transcript,3
Meal Plan,3
anyone in buad 280,3
Spring admits,3
spring involvement fair,3
Dependent of US VeteranActive MilitaryReserves Fee Waiver,3
Catalina Maymester,3
how to prepare for Skibo,3
fighting on next semester,3
University Gateway bed size,3
CSCI 567 Machine Learning vs DSCI 552,3
questbridge eard question,3
regarding Phys 151 transfer evalution,3
USC Payment Plan Help,3
Good Dornsife 2 unit electives,3
Visiting USC this week,3
Intro to poetry writing syllabus,3
reasonably priced hair salons for women near usc,3
med post secondary administration and student affairs,3
whom do i contact to report a students online racist and other questionable online behaviour,0
Tuition Bill,3
going out places,3
Pell Grant and Federal Loan disbursement,3
FAST Required Documents,3
Surviving PHYS 151,3
payment plan,3
How to opt of digital study materials,3
For those who took HBIO 370 w Polidorihow tough was it,3
Annenberg Kira Interview Advice,3
Does work study rollover to next semester,3
Marshall transfer,3
How to Access free ChatGPT,3
How to choose a major strategically as a latedeclaring USC junior,3
Regardless of tonights game against UMich,3
USC transfer app question,3
CSCI201  what are the labs like,3
rUSC Monthly BuySell Housing Carpool and USC ticket posts go here January 2026,0
Dr Eric Heller  ANTH321 ily,3
What is the SOSB building,3
Keep Switch Drop What Classes to Pick and Why,3
CSCI 401 Section Swap Needed,3
Im finding it impossible to wrap my brain around it,3
Does anyone know the brand name of the fixed barbells in the usc gyms,3
SlideroomCreative Supplement Questions,3
rCFB donation drive  will donate on your behalf,3
graduating under the max required units,3
Spring Admits Housing,3
Is campus open right now to public,1
Village Pilates studio  thoughts,3
RNR04 Restriction What the hell is this,3
Movein tips,3
Places on campus that look like a traditional office with cubicles,1
Got admitted to USC Fall 2026 MS ECE,0
Question about wanting to enroll,3
commuting to graduation,3
Switching majors between schools,3
Transfer Writing Req Question,3
Anyone taking SOCI 235,3
Textbook requirements,3
How to have a better experience at usc,3
Pickup books during winter break,3
Premed ochemphysicsbiochem recs,3
Buad 305,3
Hoping To Transfer,3
ISO affordable motel or hotel,3
Coolest classes to take at usc,3
subleasing  WHEREHOW to get REAL LEADS,3
cookingbaking club,3
To any transfers did you guys get good aid,3
any usc peoplealums in houston,3
Easiest GEB or GEC classes Ones that are also G also needed For spring,3
Guys how much would I pay,3
How do I hire a fellow Trojan,3
What are the Geniune Problems w USC seems long but there are sample questions feel free to just tell me,3
Im a business owneralum and I need to find a student who is good at digital marketing and looking for an internship Where should I look to find someone like this,3
Refund for Health insurance opt out,3
Financial aid for OOS Students,0
Spring 2026 Off Campus Housing for International Students,0
going to get in,3
How much is health insurance supposed to be,3
Reevaluation of grade,3
Have you all received your grades yet,3
Job,3
USC MBA reputation,3
Missing grade on transcript  what does this usually mean,3
when does summer 2026 catalogue come out,0
How safe is the area surrounding campus,1
CSCI522 Game engine dev course alignment question,3
Ochem2 with kyung,3
Review on Distributed Systems by Prof SeoJin Park CSCI 599,3
Does Final report matter,1
Opt Out Digital Course Materials Spring,3
Questions on Course Producer in Viterbi,3
TCC stairwell,3
USC Online DEN@Viterbi masters programs question,3
Spring 2026 MSCS Is Arriving 1 Week Late Manageable,0
6k is the minimum due but Im broke asf,3
How to get USC  San Jose,3
financial aid appeal,3
question about walking at spring 2026 commencement as pdp student,0
Math 118 Final Grade,1
MATH 125 final grade,1
Last DSCI elective advice,3
Hbo Max Cancelled,3
WorkStudy Funds,3
USC Student Pay shows duplicate Spring housing charge,3
Can someone share the WhatsApp group link for Fall 2026,0
How to get a deferral URGENT,3
USC Not Eligible for Cal Grant,3
obligatory 2 credit course recommendation request,3
drive test,3
Structuring freshman year courses to transfer to USC,3
Random q,3
What is usually the cutoff between an A and A,3
On Campus for WinterSpring,1
questions for those that pay for offcampus rent with their refund,3
Opt out digital course material,3
Spot for Woodworking,3
The Dornsife restructuring felt like a black box Did anyone else see this,3
Parking permit,3
Residential Dining,3
Coliseum Section 311 worth it,3
Which has less internal transfer in Viterbi,3
Russia in the Modern Era,3
PPD 330 or HP 365 advice,3
Who wants a rest area in leavey,3
Does anyone live in an off campus housing that they actually like,1
Leavey Germs,3
How to get a deferral URGENT,3
Employee Tuition Assistance Benefit a scam or just explained poorly,3
Can you get your teeth cleaned at the USC dentistry school,3
Annenberg grad school,3
Caught for AI,3
Admitted to USC Online MFT 2026  Looking for Honest Experiences,0
WBB Decisions,3
Thornton DMA questions,3
Send Thank You emails to advisors professors and TAs,3
Aerospace Program,3
Incoming Exchange Student,3
Why are there so many people who cant use the bike lane properly,3
USCs unacceptable silent class unit increase,3
Stranded in LA During Winter Break,3
Ginsburg hall open hours,3
Can I graduate with a D CSCI,3
GERO320321 with Dr Hoe,3
usc winter break shuttle signups close tonight,3
Has anyone lived at the Trojan Village Apartments,3
BUAD 302 Advice for Spring,3
Business of Cinematic arts ED,3
Found Airpods case,3
Math 125,3
Whats everyones tuition as an undergrad,3
Chem 105a,3
marshall students,0
Best Electives for Marshall Students,0
Please use deodorant,3
Rating,3
so r they just doing jackshit about the dining halls  evk,3
spring admit how do i get my fall cal grant,3
do apartments like the hub fig west 27th do springonly leases,3
CHON cover band,3
Fire Alarm,3
Does anyone know where the muffins are from,3
printing,3
Taking BUAD 305 as someone who has never taken accounting before  is it manageable,3
New to the area,3
Please tell me everyone had a shit Calc 1 exam,3
Who do I have to pay to get one of those rowing scholarships to get in the side door,3
Need help with merch ideas,3
USC is the university of Southern California,3
Free use of manpower,3
El Rodeo 2018 Yearbook,3
why are you in leavey if you are sick,3
Summer classes,3
math 125 grading scale,3
Is it worth pursuing SCA given the state of the industry,3
HBio 301 Anatomy Maymester with Kwast,3
Question About USCs InPerson Spanish Placement Exam CDP Result,3
Does anyone know which study cafe Im referring to here,3
swms 392,3
Is Need Based Financial Aid gonna get impacted by USCs financial troubles,3
Watch where youre driving,3
Is the administration at this school poordisorganized or did I just have a oneoff experience,3
3 exams in one day am I allowed to reschedule one,3
Pretty Sure I Was About to Get Jumped Tonight,3
Grades,3
Does the Affordability Initiative apply to transfer students,0
Insurance options for USC waiver,3
Suggestions for 500 level CSCI course and why,3
6 credits short from graduating,3
Work study,3
USC Marshall 30 ED Applicant Group Chat,3
Tennis or Pickleball,3
