post_text,cluster
Transfer supplemental question,1
frats,0
gay guys,0
Trojan eye center student insurance,0
switching majors before starting first year dornsife to marshallannenberg,0
How long after grad does gym access end,0
General Physician,0
Incoming international student deciding on MS Global Supply Chain Management  would love honest insights,0
Completion of Dornsife Foreign Lang Req Late,0
Limit on lower div substitutions,0
Anyones Upass not renewing,0
About housing applications,2
Study abroad advice,1
Transfer application,1
Housing  what are the odds of successfully getting housing in village 2b4p  db,2
Genuine question does the cia recruit from usc,3
FAST Portal Required Documents,3
Freshman Housing,2
Any groups for USC Fall 2026 Admits to connect,3
Not going to class until the third week,0
Places to have online meetingsZoom,0
2 unit class reqs,0
Hows the international relations program here,0
Any crafters at USC,3
USC housing price increase,2
How early to get to the game for free shirtsswag,3
Does USC have Music RecordingSound Design like courses,3
GERO340 USC w Prof Aaron Hagedorn,3
poetry,0
Parent question thoughts on USC and the Business of Cinematic Arts program,3
USC Call Of Duty Last Call,3
PHYS 152 at USC over the Summer,3
USC EdD in Educational Leadership Application,3
Ok does everyone have the flu,0
graduate admissions timeline,0
David Belascos BAEP 470 or Anthony Borquezs BUAD 301 Tech Entrepreneurship,0
StuhoElement housing,2
WES,0
heytea,0
Internal Transfer Question,1
Gateway Smell in Apartment,0
USC EA Financial Aid Package,3
Housing for next year help,2
Best sophomore housing options Through USC,2
Any community college transfers Also would living in echo park off campus be too much of a commute,0
What counts as community service for Norman Topping Scholarship,0
ISO Off Campus Housing,2
Thoughts or insights into usc Marshall or international relations,3
What Housing,2
Piano Practice Rooms for nonmusic majors,0
Does dulce make their own cakes or buy it somewhere else,0
How do you stay motivateddisciplined,0
Bars near campus with a chill vibe to read and play some pool at,0
Admitted students gc 2026,0
off campus housing recc,2
recently admitted tell me all the pros and cons of USC,3
FAFSA not received on the FAST portal,3
Anyone throwing tonight,0
Is the Summer Program worth it for Marshall,1
CSCI 577A and 644 reviews,0
Any advice for an incoming Creative Writing major,1
Neuroscience BA vs Health and Human Sciences BA,1
USC EA Admit,3
Accepted Next Steps,3
Please help with double majoring,0
On Campus Job,1
USC discord,3
Sophomore Housing  Honors,2
How feasible is switching into Cinema and Media Studies Major from Dornsife,0
GEOL 126 Lab Swap,0
FAST Portal,3
graduate assistantship,0
Best way to get to Cedars Sinai from USC,3
Looking for intramural bball team,0
What clubs are you joiningchecking out this semester,0
DEN Proctor Bay Area,0
delete petition,0
Where is HOHEDI,0
Rock  Reillys,0
Piano for students to play on campus,0
Anthropology PhD studentsresearch proposal,0
OpenAI  ChatGPT Edu,0
Whens the Frat Rush,0
is it worth it to apply to dka again after getting rejected twice before,1
cowlings and ilium aircon,0
chem105b study group Bertolini,0
Travel Abroad Question,1
Soph roommate of opposite gender in housing lottery,2
acting call back,0
Loans help,0
USC Marshall MBA cost of attendance,3
How hard is it to make the spirit leaders team,0
Is USC having AI read applications this year,3
USC Call of Duty Tryouts,3
What to do for Sophomore Housing Lottery with no Roommate,2
Lost Phone,0
Stop walking in the bike lanes around campus,0
PHIL260,0
tac 460 web dev project,0
Anyone willing to switch GESM120 g with me,0
Easiest Upper Division Film Classes,0
Im new student,1
Questions on IF I should Rush and Where,2
Is anyone taking CSCI 567 CSML with Professor Vatsal Sharan,0
Best times to go to the gym,0
How much are your parents paying,0
transfer student never felt more alone,0
Can I still go to the student health center if I waive the student health insurance,1
Considering USC MHC Architecture  Worth It,3
Resources for mental health,1
Do I need to fill out the CSS profile again,0
Taking Both HBIO 302 anatomy  BISC 307 physiology doable,0
Any Pakistani MS Spring 26 Students Would love to connect,0
Do we need to reapply for UPass each semesteryear,0
Trading MASC310 lab session,0
Marshall vs Dornslife what are your experiences,3
Do labs start week 1,0
If accepted as a transfer to Marshall  how realistic is doing 16 units during my first semester and the other 3 semesters with 18 units,0
outdoor seating with outlets,0
how to find affordable rooms in the houses near campus,0
lab coat and goggles,0
Anyone dropping the IDSN585 Capstone,0
writ150,0
marshall internal transfer to joint major,1
Confused between choosing classes for CSCI Spring26,0
How do you get a UPass card,0
When should I expect my 20262027 financial aid package as a current freshmen,0
General question sophomore on campus housing process vs off campus,2
MAcc program decision timeline,0
BUAD 304 Mada,0
Damn the music at Lyon loud asf today,0
Looking for people who studied English between 20192023,0
Is anyone offering vocal lessons,0
Pickup soccer at usc,2
SOCI 242,1
ISO Yoga Mat,0
Student Email Template,0
Are there any groupschats for BME grad students or general is fine as long as its not just undergrads like GroupMe or discord,0
How do I look up reviews for classes other than ratemyprofessor,0
Missed USC Fee Payment Deadline by an Hour,3
am I cooked transferring from a t20 to usc with a 378 gpa prob will be a little lower with usc recalculation,3
TAB Tuition Assistance Benefits I am a 15 years exUSC employee Does the university still give dependent tuition benefits to former empoyees,0
CSCI 567 Machine Learning Course with Prof Sharad Vatsal,0
Chatgpt Edu  USC Whats going on,3
Quick Question From A First Year Applicant,0
USC Master of Arts in Teaching I Got In,3
MSCS courses,0
Regret not applying for RA  what are the worst parts of the job,1
CSCI 587 Geospatial Analysis,0
USC Students How iswas your major Likesdislikes regrets postgrad plans and vibe,3
Lost hat in lyft,0
Any tips for surviving BUAD 311,0
Final semester things to do,0
OT 251 OT 260  SWMS 212 vs HIST211,1
Fred Leeds Property Management Reviews,0
Need classes,0
Offcampus housing lease dispute seeking advice  similar experiences,2
Acting in SCA Student Films,0
offering a ride to Bay Area back on sunday,0
Marshall Finance Emphasis Course Advice FBE421,0
Looking to joincreate intramural volleyball team,0
psyc 454 with leor hackel advice,0
OT260 CHP Building,1
uh which usc majors do grade deflation idk if you can call it deflation but for some programs they can only give 40 of kids As and As according to a prof I had vs not Like business psych cinema pr history cs etc,2
When do EA results typically come out,0
Gerontology Program,0
USCs unacceptable silent class unit increase update,0
What volunteer opportunities that can give clinical hours are in the area,0
den@viterbi scholarship,0
PHED 140 swap,0
USCs MS in Economics and Data Science MECDS program,1
When do dorms reopen @usc,3
hair salons near campus,0
Spring Admit Transcript,0
Meal Plan,0
anyone in buad 280,0
Spring admits,0
spring involvement fair,0
Dependent of US VeteranActive MilitaryReserves Fee Waiver,0
Catalina Maymester,0
how to prepare for Skibo,0
fighting on next semester,3
University Gateway bed size,0
CSCI 567 Machine Learning vs DSCI 552,0
questbridge eard question,1
regarding Phys 151 transfer evalution,0
USC Payment Plan Help,3
Good Dornsife 2 unit electives,0
Visiting USC this week,3
Intro to poetry writing syllabus,1
reasonably priced hair salons for women near usc,3
med post secondary administration and student affairs,0
whom do i contact to report a students online racist and other questionable online behaviour,0
Tuition Bill,0
going out places,0
Pell Grant and Federal Loan disbursement,0
FAST Required Documents,3
Surviving PHYS 151,0
payment plan,1
How to opt of digital study materials,0
For those who took HBIO 370 w Polidorihow tough was it,0
Annenberg Kira Interview Advice,0
Does work study rollover to next semester,3
Marshall transfer,1
How to Access free ChatGPT,1
How to choose a major strategically as a latedeclaring USC junior,3
Regardless of tonights game against UMich,3
USC transfer app question,3
CSCI201  what are the labs like,0
rUSC Monthly BuySell Housing Carpool and USC ticket posts go here January 2026,2
Dr Eric Heller  ANTH321 ily,0
What is the SOSB building,1
Keep Switch Drop What Classes to Pick and Why,0
CSCI 401 Section Swap Needed,0
Im finding it impossible to wrap my brain around it,0
Does anyone know the brand name of the fixed barbells in the usc gyms,3
SlideroomCreative Supplement Questions,2
rCFB donation drive  will donate on your behalf,0
graduating under the max required units,0
Spring Admits Housing,2
Is campus open right now to public,0
Village Pilates studio  thoughts,0
RNR04 Restriction What the hell is this,0
Movein tips,0
Places on campus that look like a traditional office with cubicles,0
Got admitted to USC Fall 2026 MS ECE,3
Question about wanting to enroll,1
commuting to graduation,0
Switching majors between schools,0
Transfer Writing Req Question,1
Anyone taking SOCI 235,1
Textbook requirements,0
How to have a better experience at usc,3
Pickup books during winter break,2
Premed ochemphysicsbiochem recs,0
Buad 305,0
Hoping To Transfer,1
ISO affordable motel or hotel,0
Coolest classes to take at usc,3
subleasing  WHEREHOW to get REAL LEADS,0
cookingbaking club,0
To any transfers did you guys get good aid,0
any usc peoplealums in houston,3
Easiest GEB or GEC classes Ones that are also G also needed For spring,0
Guys how much would I pay,0
How do I hire a fellow Trojan,0
What are the Geniune Problems w USC seems long but there are sample questions feel free to just tell me,2
Im a business owneralum and I need to find a student who is good at digital marketing and looking for an internship Where should I look to find someone like this,0
Refund for Health insurance opt out,1
Financial aid for OOS Students,0
Spring 2026 Off Campus Housing for International Students,2
going to get in,0
How much is health insurance supposed to be,1
Reevaluation of grade,0
Have you all received your grades yet,0
Job,1
USC MBA reputation,3
Missing grade on transcript  what does this usually mean,0
when does summer 2026 catalogue come out,0
How safe is the area surrounding campus,0
CSCI522 Game engine dev course alignment question,3
Ochem2 with kyung,0
Review on Distributed Systems by Prof SeoJin Park CSCI 599,0
Does Final report matter,0
Opt Out Digital Course Materials Spring,0
Questions on Course Producer in Viterbi,2
TCC stairwell,0
USC Online DEN@Viterbi masters programs question,3
Spring 2026 MSCS Is Arriving 1 Week Late Manageable,0
6k is the minimum due but Im broke asf,0
How to get USC  San Jose,3
financial aid appeal,0
question about walking at spring 2026 commencement as pdp student,0
Math 118 Final Grade,0
MATH 125 final grade,0
Last DSCI elective advice,0
Hbo Max Cancelled,0
WorkStudy Funds,0
USC Student Pay shows duplicate Spring housing charge,2
Can someone share the WhatsApp group link for Fall 2026,3
How to get a deferral URGENT,0
USC Not Eligible for Cal Grant,3
obligatory 2 credit course recommendation request,0
drive test,0
Structuring freshman year courses to transfer to USC,3
Random q,0
What is usually the cutoff between an A and A,0
On Campus for WinterSpring,0
questions for those that pay for offcampus rent with their refund,2
Opt out digital course material,0
Spot for Woodworking,0
The Dornsife restructuring felt like a black box Did anyone else see this,0
Parking permit,0
Residential Dining,0
Coliseum Section 311 worth it,1
Which has less internal transfer in Viterbi,1
Russia in the Modern Era,0
PPD 330 or HP 365 advice,0
Who wants a rest area in leavey,0
Does anyone live in an off campus housing that they actually like,2
Leavey Germs,0
How to get a deferral URGENT,0
Employee Tuition Assistance Benefit a scam or just explained poorly,0
Can you get your teeth cleaned at the USC dentistry school,3
Annenberg grad school,0
Caught for AI,0
Admitted to USC Online MFT 2026  Looking for Honest Experiences,3
WBB Decisions,0
Thornton DMA questions,2
Send Thank You emails to advisors professors and TAs,0
Aerospace Program,0
Incoming Exchange Student,0
Why are there so many people who cant use the bike lane properly,0
USCs unacceptable silent class unit increase,0
Stranded in LA During Winter Break,0
Ginsburg hall open hours,0
Can I graduate with a D CSCI,0
GERO320321 with Dr Hoe,0
usc winter break shuttle signups close tonight,3
Has anyone lived at the Trojan Village Apartments,0
BUAD 302 Advice for Spring,0
Business of Cinematic arts ED,0
Found Airpods case,0
Math 125,0
Whats everyones tuition as an undergrad,0
Chem 105a,0
marshall students,0
Best Electives for Marshall Students,0
Please use deodorant,0
Rating,0
so r they just doing jackshit about the dining halls  evk,0
spring admit how do i get my fall cal grant,0
do apartments like the hub fig west 27th do springonly leases,0
CHON cover band,0
Fire Alarm,0
Does anyone know where the muffins are from,0
printing,0
Taking BUAD 305 as someone who has never taken accounting before  is it manageable,3
New to the area,1
Please tell me everyone had a shit Calc 1 exam,0
Who do I have to pay to get one of those rowing scholarships to get in the side door,0
Need help with merch ideas,0
USC is the university of Southern California,3
Free use of manpower,1
El Rodeo 2018 Yearbook,0
why are you in leavey if you are sick,0
Summer classes,0
math 125 grading scale,0
Is it worth pursuing SCA given the state of the industry,1
HBio 301 Anatomy Maymester with Kwast,0
Question About USCs InPerson Spanish Placement Exam CDP Result,0
Does anyone know which study cafe Im referring to here,0
swms 392,0
Is Need Based Financial Aid gonna get impacted by USCs financial troubles,0
Watch where youre driving,0
Is the administration at this school poordisorganized or did I just have a oneoff experience,0
3 exams in one day am I allowed to reschedule one,0
Pretty Sure I Was About to Get Jumped Tonight,0
Grades,0
Does the Affordability Initiative apply to transfer students,1
Insurance options for USC waiver,3
Suggestions for 500 level CSCI course and why,0
6 credits short from graduating,0
Work study,0
USC Marshall 30 ED Applicant Group Chat,3
Tennis or Pickleball,0
